Size,7500
Attempt,1,2,3,
Heap,1991720943,1991720943,1991720943,
Extra Heap,273077209,273077209,273077209,
Stack,2896,2896,2896,

Size,15000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,22500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,30000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,37500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,45000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,52500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,67500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,75000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,82500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,85000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,87500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,90000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,7500
Attempt,1,2,3,
Heap,1991720943,1991720943,1991720943,
Extra Heap,273077209,273077209,273077209,
Stack,2896,2896,2896,

Size,15000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,22500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,30000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,37500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,45000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,52500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,67500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,75000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,82500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,85000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,87500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,90000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

