Size,7500
Attempt,1,2,3,
Heap,225283811,225283811,225283811,
Extra Heap,120405,120405,120405,
Stack,3784,3784,3784,

Size,15000
Attempt,1,2,3,
Heap,900493812,900493812,900493812,
Extra Heap,240404,240404,240404,
Stack,3784,3784,3784,

Size,22500
Attempt,1,2,3,
Heap,2025703812,2025703812,2025703812,
Extra Heap,360404,360404,360404,
Stack,2880,2880,2880,

Size,30000
Attempt,1,2,3,
Heap,3600913812,3600913812,3600913812,
Extra Heap,480404,480404,480404,
Stack,2880,2880,2880,

Size,37500
Attempt,1,2,3,
Heap,5626123812,5626123812,5626123812,
Extra Heap,600404,600404,600404,
Stack,2880,2880,2880,

Size,45000
Attempt,1,2,3,
Heap,8101333812,8101333812,8101333812,
Extra Heap,720404,720404,720404,
Stack,2880,2880,2880,

Size,52500
Attempt,1,2,3,
Heap,11026543812,11026543812,11026543812,
Extra Heap,840404,840404,840404,
Stack,2880,2880,2880,

Size,60000
Attempt,1,2,3,
Heap,14401753812,14401753812,14401753812,
Extra Heap,960404,960404,960404,
Stack,2880,2880,2880,

Size,67500
Attempt,1,2,3,
Heap,18226963812,18226963812,18226963812,
Extra Heap,1080404,1080404,1080404,
Stack,2880,2880,2880,

Size,75000
Attempt,1,2,3,
Heap,22502173812,22502173812,22502173812,
Extra Heap,1200404,1200404,1200404,
Stack,2880,2880,2880,

Size,82500
Attempt,1,2,3,
Heap,27227383812,27227383812,27227383812,
Extra Heap,1320404,1320404,1320404,
Stack,2880,2880,2880,

Size,85000
Attempt,1,2,3,
Heap,28902453812,28902453812,28902453812,
Extra Heap,1360404,1360404,1360404,
Stack,2880,2880,2880,

Size,87500
Attempt,1,2,3,
Heap,30627523812,30627523812,30627523812,
Extra Heap,1400404,1400404,1400404,
Stack,2880,2880,2880,

Size,90000
Attempt,1,2,3,
Heap,32402593812,32402593812,32402593812,
Extra Heap,1440404,1440404,1440404,
Stack,2880,2880,2880,

Size,7500
Attempt,1,2,3,
Heap,225283811,225283811,225283811,
Extra Heap,120405,120405,120405,
Stack,3784,3784,3784,

Size,15000
Attempt,1,2,3,
Heap,900493812,900493812,900493812,
Extra Heap,240404,240404,240404,
Stack,3784,3784,3784,

Size,22500
Attempt,1,2,3,
Heap,2025703812,2025703812,2025703812,
Extra Heap,360404,360404,360404,
Stack,2880,2880,2880,

Size,30000
Attempt,1,2,3,
Heap,3600913812,3600913812,3600913812,
Extra Heap,480404,480404,480404,
Stack,2880,2880,2880,

Size,37500
Attempt,1,2,3,
Heap,5626123812,5626123812,5626123812,
Extra Heap,600404,600404,600404,
Stack,2880,2880,2880,

Size,45000
Attempt,1,2,3,
Heap,8101333812,8101333812,8101333812,
Extra Heap,720404,720404,720404,
Stack,2880,2880,2880,

Size,52500
Attempt,1,2,3,
Heap,11026543812,11026543812,11026543812,
Extra Heap,840404,840404,840404,
Stack,2880,2880,2880,

Size,60000
Attempt,1,2,3,
Heap,14401753812,14401753812,14401753812,
Extra Heap,960404,960404,960404,
Stack,2880,2880,2880,

Size,67500
Attempt,1,2,3,
Heap,18226963812,18226963812,18226963812,
Extra Heap,1080404,1080404,1080404,
Stack,2880,2880,2880,

Size,75000
Attempt,1,2,3,
Heap,22502173812,22502173812,22502173812,
Extra Heap,1200404,1200404,1200404,
Stack,2880,2880,2880,

Size,82500
Attempt,1,2,3,
Heap,27227383812,27227383812,27227383812,
Extra Heap,1320404,1320404,1320404,
Stack,2880,2880,2880,

Size,85000
Attempt,1,2,3,
Heap,28902453812,28902453812,28902453812,
Extra Heap,1360404,1360404,1360404,
Stack,2880,2880,2880,

Size,87500
Attempt,1,2,3,
Heap,30627523812,30627523812,30627523812,
Extra Heap,1400404,1400404,1400404,
Stack,2880,2880,2880,

Size,90000
Attempt,1,2,3,
Heap,32402593812,32402593812,32402593812,
Extra Heap,1440404,1440404,1440404,
Stack,2880,2880,2880,

