Size,7500
Attempt,1,2,3,
Heap,225194351,225194351,225194351,
Extra Heap,60489,60489,60489,
Stack,3376,3376,3376,

Size,15000
Attempt,1,2,3,
Heap,900314352,900314352,900314352,
Extra Heap,120488,120488,120488,
Stack,3376,3376,3376,

Size,22500
Attempt,1,2,3,
Heap,2025434352,2025434352,2025434352,
Extra Heap,180488,180488,180488,
Stack,3376,3376,3376,

Size,30000
Attempt,1,2,3,
Heap,3600554352,3600554352,3600554352,
Extra Heap,240488,240488,240488,
Stack,3376,3376,3376,

Size,37500
Attempt,1,2,3,
Heap,5625674352,5625674352,5625674352,
Extra Heap,300488,300488,300488,
Stack,3376,3376,3376,

Size,45000
Attempt,1,2,3,
Heap,8100794352,8100794352,8100794352,
Extra Heap,360488,360488,360488,
Stack,3376,3376,3376,

Size,52500
Attempt,1,2,3,
Heap,11025914352,11025914352,11025914352,
Extra Heap,420488,420488,420488,
Stack,3376,3376,3376,

Size,60000
Attempt,1,2,3,
Heap,14401034352,14401034352,14401034352,
Extra Heap,480488,480488,480488,
Stack,3376,3376,3376,

Size,7500
Attempt,1,2,3,
Heap,225194352,225194352,225194352,
Extra Heap,60488,60488,60488,
Stack,3384,3384,3384,

Size,15000
Attempt,1,2,3,
Heap,900314353,900314353,900314353,
Extra Heap,120487,120487,120487,
Stack,3376,3376,3376,

Size,22500
Attempt,1,2,3,
Heap,2025434353,2025434353,2025434353,
Extra Heap,180487,180487,180487,
Stack,3384,3384,3384,

Size,30000
Attempt,1,2,3,
Heap,3600554353,3600554353,3600554353,
Extra Heap,240487,240487,240487,
Stack,3384,3384,3384,

Size,37500
Attempt,1,2,3,
Heap,5625674353,5625674353,5625674353,
Extra Heap,300487,300487,300487,
Stack,3376,3376,3376,

Size,45000
Attempt,1,2,3,
Heap,8100794353,8100794353,8100794353,
Extra Heap,360487,360487,360487,
Stack,3376,3376,3376,

Size,52500
Attempt,1,2,3,
Heap,11025914353,11025914353,11025914353,
Extra Heap,420487,420487,420487,
Stack,3376,3376,3376,

Size,60000
Attempt,1,2,3,
Heap,14401034353,14401034353,14401034353,
Extra Heap,480487,480487,480487,
Stack,3376,3376,3376,

Size,7500
Attempt,1,2,3,
Heap,225194353,225194353,225194353,
Extra Heap,60487,60487,60487,
Stack,3376,3376,3376,

Size,15000
Attempt,1,2,3,
Heap,900314354,900314354,900314354,
Extra Heap,120486,120486,120486,
Stack,3376,3376,3376,

Size,22500
Attempt,1,2,3,
Heap,2025434354,2025434354,2025434354,
Extra Heap,180486,180486,180486,
Stack,3376,3376,3376,

Size,30000
Attempt,1,2,3,
Heap,3600554354,3600554354,3600554354,
Extra Heap,240486,240486,240486,
Stack,3376,3376,3376,

Size,37500
Attempt,1,2,3,
Heap,5625674354,5625674354,5625674354,
Extra Heap,300486,300486,300486,
Stack,3376,3376,3376,

Size,45000
Attempt,1,2,3,
Heap,8100794354,8100794354,8100794354,
Extra Heap,360486,360486,360486,
Stack,3376,3376,3376,

Size,52500
Attempt,1,2,3,
Heap,11025914354,11025914354,11025914354,
Extra Heap,420486,420486,420486,
Stack,3376,3376,3376,

Size,60000
Attempt,1,2,3,
Heap,14401034354,14401034354,14401034354,
Extra Heap,480486,480486,480486,
Stack,3376,3376,3376,

Size,7500
Attempt,1,2,3,
Heap,225194354,225194354,225194354,
Extra Heap,60486,60486,60486,
Stack,3376,3376,3376,

Size,15000
Attempt,1,2,3,
Heap,900314355,900314355,900314355,
Extra Heap,120485,120485,120485,
Stack,3376,3376,3376,

Size,22500
Attempt,1,2,3,
Heap,2025434355,2025434355,2025434355,
Extra Heap,180485,180485,180485,
Stack,3376,3376,3376,

Size,30000
Attempt,1,2,3,
Heap,3600554355,3600554355,3600554355,
Extra Heap,240485,240485,240485,
Stack,3376,3376,3376,

Size,37500
Attempt,1,2,3,
Heap,5625674355,5625674355,5625674355,
Extra Heap,300485,300485,300485,
Stack,3376,3376,3376,

Size,45000
Attempt,1,2,3,
Heap,8100794355,8100794355,8100794355,
Extra Heap,360485,360485,360485,
Stack,3376,3376,3376,

Size,52500
Attempt,1,2,3,
Heap,11025914355,11025914355,11025914355,
Extra Heap,420485,420485,420485,
Stack,3376,3376,3376,

Size,60000
Attempt,1,2,3,
Heap,14401034355,14401034355,14401034355,
Extra Heap,480485,480485,480485,
Stack,3376,3376,3376,

