Size,20000000
Attempt,1,2,3,
Heap,1767818838,1767818838,1767818838,
Extra Heap,645006586,645006586,645006586,
Stack,3872,3872,3872,

Size,40000000
Attempt,1,2,3,
Heap,3535561718,3535561718,3535561718,
Extra Heap,1290009754,1290009754,1290009754,
Stack,3872,3872,3872,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1753154215,1753154215,1753154215,
Extra Heap,644777449,644777449,644777449,
Stack,3872,3872,3872,

Size,40000000
Attempt,1,2,3,
Heap,3535561799,3535561799,3535561799,
Extra Heap,1290009753,1290009753,1290009753,
Stack,3872,3872,3872,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1767819400,1767819400,1767819400,
Extra Heap,645006584,645006584,645006584,
Stack,3872,3872,3872,

Size,40000000
Attempt,1,2,3,
Heap,3534363176,3534363176,3534363176,
Extra Heap,1289991016,1289991016,1289991016,
Stack,3872,3872,3872,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1767821321,1767821321,1767821321,
Extra Heap,645006583,645006583,645006583,
Stack,3872,3872,3872,

Size,40000000
Attempt,1,2,3,
Heap,3535566761,3535566761,3535566761,
Extra Heap,1290009751,1290009751,1290009751,
Stack,3872,3872,3872,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

