Size,20000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,40000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1852815760,1852815760,1852815760,
Extra Heap,645010584,645010584,645010584,
Stack,3744,3744,3744,

Size,40000000
Attempt,1,2,3,
Heap,3705558128,3705558128,3705558128,
Extra Heap,1290013936,1290013936,1290013936,
Stack,3872,3872,3872,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1852818401,1852818401,1852818401,
Extra Heap,645010623,645010623,645010623,
Stack,3744,3744,3744,

Size,40000000
Attempt,1,2,3,
Heap,3705561281,3705561281,3705561281,
Extra Heap,1290013983,1290013983,1290013983,
Stack,3744,3744,3744,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1852818882,1852818882,1852818882,
Extra Heap,645010638,645010638,645010638,
Stack,3872,3872,3872,

Size,40000000
Attempt,1,2,3,
Heap,3705561762,3705561762,3705561762,
Extra Heap,1290013982,1290013982,1290013982,
Stack,3744,3744,3744,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1852820803,1852820803,1852820803,
Extra Heap,645010621,645010621,645010621,
Stack,3872,3872,3872,

Size,40000000
Attempt,1,2,3,
Heap,3705563683,3705563683,3705563683,
Extra Heap,1290013981,1290013981,1290013981,
Stack,3872,3872,3872,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

