Size,8000
Attempt,1,2,3,
Heap,138390,138390,138390,
Extra Heap,571,571,571,
Stack,4840,4840,4840,

Size,16000
Attempt,1,2,3,
Heap,202391,202391,202391,
Extra Heap,571,571,571,
Stack,3848,3848,3848,

Size,24000
Attempt,1,2,3,
Heap,266391,266391,266391,
Extra Heap,505,505,505,
Stack,4840,4840,4840,

Size,32000
Attempt,1,2,3,
Heap,330391,330391,330391,
Extra Heap,505,505,505,
Stack,4488,4488,4488,

Size,40000
Attempt,1,2,3,
Heap,394391,394391,394391,
Extra Heap,505,505,505,
Stack,3848,3848,3848,

Size,48000
Attempt,1,2,3,
Heap,458391,458391,458391,
Extra Heap,505,505,505,
Stack,3848,3848,3848,

Size,56000
Attempt,1,2,3,
Heap,522391,522391,522391,
Extra Heap,505,505,505,
Stack,3848,3848,3848,

Size,8000
Attempt,1,2,3,
Heap,138391,138391,138391,
Extra Heap,571,571,571,
Stack,4840,4840,4840,

Size,16000
Attempt,1,2,3,
Heap,202392,202392,202392,
Extra Heap,571,571,571,
Stack,3848,3848,3848,

Size,24000
Attempt,1,2,3,
Heap,266392,266392,266392,
Extra Heap,504,504,504,
Stack,4840,4840,4840,

Size,32000
Attempt,1,2,3,
Heap,330392,330392,330392,
Extra Heap,504,504,504,
Stack,4488,4488,4488,

Size,40000
Attempt,1,2,3,
Heap,394392,394392,394392,
Extra Heap,504,504,504,
Stack,3848,3848,3848,

Size,48000
Attempt,1,2,3,
Heap,458392,458392,458392,
Extra Heap,504,504,504,
Stack,3848,3848,3848,

Size,56000
Attempt,1,2,3,
Heap,522392,522392,522392,
Extra Heap,504,504,504,
Stack,3848,3848,3848,

Size,8000
Attempt,1,2,3,
Heap,138392,138392,138392,
Extra Heap,571,571,571,
Stack,4840,4840,4840,

Size,16000
Attempt,1,2,3,
Heap,202393,202393,202393,
Extra Heap,571,571,571,
Stack,3848,3848,3848,

Size,24000
Attempt,1,2,3,
Heap,266393,266393,266393,
Extra Heap,503,503,503,
Stack,4824,4824,4824,

Size,32000
Attempt,1,2,3,
Heap,330393,330393,330393,
Extra Heap,503,503,503,
Stack,3848,3848,3848,

Size,40000
Attempt,1,2,3,
Heap,394393,394393,394393,
Extra Heap,503,503,503,
Stack,3848,3848,3848,

Size,48000
Attempt,1,2,3,
Heap,458393,458393,458393,
Extra Heap,503,503,503,
Stack,3376,3376,3376,

Size,56000
Attempt,1,2,3,
Heap,522393,522393,522393,
Extra Heap,503,503,503,
Stack,3376,3376,3376,

