Size,500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,3000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,3000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,3000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,3000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,3000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,3000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,2500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,3000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

