Size,20000000
Attempt,1,2,3,
Heap,1925451356,1925451356,1925451356,
Extra Heap,644971580,644971580,644971580,
Stack,3856,3856,3856,

Size,40000000
Attempt,1,2,3,
Heap,3841628668,3841628668,3841628668,
Extra Heap,1289796084,1289796084,1289796084,
Stack,3856,3856,3856,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1911209645,1911209645,1911209645,
Extra Heap,644749051,644749051,644749051,
Stack,3856,3856,3856,

Size,40000000
Attempt,1,2,3,
Heap,3853401165,3853401165,3853401165,
Extra Heap,1289980027,1289980027,1289980027,
Stack,3856,3856,3856,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1927819406,1927819406,1927819406,
Extra Heap,645008586,645008586,645008586,
Stack,3856,3856,3856,

Size,40000000
Attempt,1,2,3,
Heap,3822336558,3822336558,3822336558,
Extra Heap,1289494650,1289494650,1289494650,
Stack,3856,3856,3856,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1927821327,1927821327,1927821327,
Extra Heap,645008569,645008569,645008569,
Stack,3856,3856,3856,

Size,40000000
Attempt,1,2,3,
Heap,3855201711,3855201711,3855201711,
Extra Heap,1290008081,1290008081,1290008081,
Stack,3856,3856,3856,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

