Size,1000
Attempt,1,2,3,
Heap,4102398,4102398,4102398,
Extra Heap,16530,16530,16530,
Stack,32248,32248,32248,

Size,2000
Attempt,1,2,3,
Heap,16130398,16130398,16130398,
Extra Heap,32530,32530,32530,
Stack,59352,59352,59352,

Size,3000
Attempt,1,2,3,
Heap,36158398,36158398,36158398,
Extra Heap,48530,48530,48530,
Stack,87112,87112,87112,

Size,4000
Attempt,1,2,3,
Heap,64186398,64186398,64186398,
Extra Heap,64530,64530,64530,
Stack,121656,121656,121656,

Size,5000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,6000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1000
Attempt,1,2,3,
Heap,4102399,4102399,4102399,
Extra Heap,16529,16529,16529,
Stack,32248,32248,32248,

Size,2000
Attempt,1,2,3,
Heap,16130399,16130399,16130399,
Extra Heap,32529,32529,32529,
Stack,59352,59352,59352,

Size,3000
Attempt,1,2,3,
Heap,36158399,36158399,36158399,
Extra Heap,48529,48529,48529,
Stack,91688,91688,91688,

Size,4000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,5000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,6000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,1000
Attempt,1,2,3,
Heap,4102400,4102400,4102400,
Extra Heap,16528,16528,16528,
Stack,32248,32248,32248,

Size,2000
Attempt,1,2,3,
Heap,16130400,16130400,16130400,
Extra Heap,32528,32528,32528,
Stack,59352,59352,59352,

Size,3000
Attempt,1,2,3,
Heap,36158400,36158400,36158400,
Extra Heap,48528,48528,48528,
Stack,96664,96664,96664,

Size,4000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,5000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,6000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

