Size,7500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,15000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,22500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,30000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,37500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,45000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,52500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,7500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,15000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,22500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,30000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,37500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,45000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,52500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,7500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,15000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,22500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,30000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,37500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,45000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,52500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,7500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,15000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,22500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,30000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,37500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,45000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,52500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,7500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,15000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,22500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,30000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,37500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,45000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,52500
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

