Size,20000000
Attempt,1,2,3,
Heap,1440074350,1440074350,1440074350,
Extra Heap,640002482,640002482,640002482,
Stack,4776,4776,4776,

Size,40000000
Attempt,1,2,3,
Heap,2880074350,2880074350,2880074350,
Extra Heap,1280004530,1280004530,1280004530,
Stack,4776,4776,4776,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1440074351,1440074351,1440074351,
Extra Heap,640002481,640002481,640002481,
Stack,3864,3864,3864,

Size,40000000
Attempt,1,2,3,
Heap,2880074351,2880074351,2880074351,
Extra Heap,1280004529,1280004529,1280004529,
Stack,3864,3864,3864,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1440074352,1440074352,1440074352,
Extra Heap,640002480,640002480,640002480,
Stack,3560,3560,3560,

Size,40000000
Attempt,1,2,3,
Heap,2880074352,2880074352,2880074352,
Extra Heap,1280004528,1280004528,1280004528,
Stack,3560,3560,3560,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1440074353,1440074353,1440074353,
Extra Heap,640002479,640002479,640002479,
Stack,3560,3560,3560,

Size,40000000
Attempt,1,2,3,
Heap,2880074353,2880074353,2880074353,
Extra Heap,1280004527,1280004527,1280004527,
Stack,3560,3560,3560,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

