Size,20000000
Attempt,1,2,3,
Heap,1520074280,1520074280,1520074280,
Extra Heap,640005432,640005432,640005432,
Stack,3576,3576,3576,

Size,40000000
Attempt,1,2,3,
Heap,3040074280,3040074280,3040074280,
Extra Heap,1280006456,1280006456,1280006456,
Stack,3576,3576,3576,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1520074281,1520074281,1520074281,
Extra Heap,640005431,640005431,640005431,
Stack,3408,3408,3408,

Size,40000000
Attempt,1,2,3,
Heap,3040074281,3040074281,3040074281,
Extra Heap,1280006455,1280006455,1280006455,
Stack,3408,3408,3408,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1520074282,1520074282,1520074282,
Extra Heap,640005430,640005430,640005430,
Stack,3408,3408,3408,

Size,40000000
Attempt,1,2,3,
Heap,3040074282,3040074282,3040074282,
Extra Heap,1280006454,1280006454,1280006454,
Stack,3408,3408,3408,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1520074283,1520074283,1520074283,
Extra Heap,640005429,640005429,640005429,
Stack,3408,3408,3408,

Size,40000000
Attempt,1,2,3,
Heap,3040074283,3040074283,3040074283,
Extra Heap,1280006453,1280006453,1280006453,
Stack,3408,3408,3408,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

