Size,15000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,30000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,45000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,75000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,90000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,105000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,135000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,150000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,15000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,30000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,45000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,75000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,90000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,105000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,135000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,150000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,15000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,30000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,45000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,75000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,90000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,105000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,135000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,150000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,15000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,30000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,45000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,60000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,75000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,90000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,105000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,135000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,150000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

