Size,8000
Attempt,1,2,3,
Heap,256170390,256170390,256170390,
Extra Heap,64506,64506,64506,
Stack,632168,632168,632168,

Size,16000
Attempt,1,2,3,
Heap,1024266391,1024266391,1024266391,
Extra Heap,128505,128505,128505,
Stack,1280008,1280008,1280008,

Size,24000
Attempt,1,2,3,
Heap,2304362391,2304362391,2304362391,
Extra Heap,192505,192505,192505,
Stack,1827768,1827768,1827768,

Size,32000
Attempt,1,2,3,
Heap,4096458391,4096458391,4096458391,
Extra Heap,256505,256505,256505,
Stack,2534136,2534136,2534136,

Size,40000
Attempt,1,2,3,
Heap,6400554391,6400554391,6400554391,
Extra Heap,320505,320505,320505,
Stack,3084648,3084648,3084648,

Size,48000
Attempt,1,2,3,
Heap,9216650391,9216650391,9216650391,
Extra Heap,384505,384505,384505,
Stack,3767176,3767176,3767176,

Size,56000
Attempt,1,2,3,
Heap,12544746391,12544746391,12544746391,
Extra Heap,448505,448505,448505,
Stack,4380728,4380728,4380728,

Size,8000
Attempt,1,2,3,
Heap,256170391,256170391,256170391,
Extra Heap,64505,64505,64505,
Stack,642568,642568,642568,

Size,16000
Attempt,1,2,3,
Heap,1024266392,1024266392,1024266392,
Extra Heap,128504,128504,128504,
Stack,1274616,1274616,1274616,

Size,24000
Attempt,1,2,3,
Heap,2304362392,2304362392,2304362392,
Extra Heap,192504,192504,192504,
Stack,1923048,1923048,1923048,

Size,32000
Attempt,1,2,3,
Heap,4096458392,4096458392,4096458392,
Extra Heap,256504,256504,256504,
Stack,2544728,2544728,2544728,

Size,40000
Attempt,1,2,3,
Heap,6400554392,6400554392,6400554392,
Extra Heap,320504,320504,320504,
Stack,3187448,3187448,3187448,

Size,48000
Attempt,1,2,3,
Heap,9216650392,9216650392,9216650392,
Extra Heap,384504,384504,384504,
Stack,3820936,3820936,3820936,

Size,56000
Attempt,1,2,3,
Heap,12544746392,12544746392,12544746392,
Extra Heap,448504,448504,448504,
Stack,4467848,4467848,4467848,

Size,8000
Attempt,1,2,3,
Heap,256170392,256170392,256170392,
Extra Heap,64504,64504,64504,
Stack,639496,639496,639496,

Size,16000
Attempt,1,2,3,
Heap,1024266393,1024266393,1024266393,
Extra Heap,128503,128503,128503,
Stack,1266568,1266568,1266568,

Size,24000
Attempt,1,2,3,
Heap,2304362393,2304362393,2304362393,
Extra Heap,192503,192503,192503,
Stack,1877416,1877416,1877416,

Size,32000
Attempt,1,2,3,
Heap,4096458393,4096458393,4096458393,
Extra Heap,256503,256503,256503,
Stack,2472248,2472248,2472248,

Size,40000
Attempt,1,2,3,
Heap,6400554393,6400554393,6400554393,
Extra Heap,320503,320503,320503,
Stack,3153288,3153288,3153288,

Size,48000
Attempt,1,2,3,
Heap,9216650393,9216650393,9216650393,
Extra Heap,384503,384503,384503,
Stack,3830008,3830008,3830008,

Size,56000
Attempt,1,2,3,
Heap,12544746393,12544746393,12544746393,
Extra Heap,448503,448503,448503,
Stack,4477608,4477608,4477608,

