Size,500
Attempt,1,2,3,
Heap,1574386,1574386,1574386,
Extra Heap,29150,29150,29150,
Stack,136688,136688,136688,

Size,1000
Attempt,1,2,3,
Heap,6051364,6051364,6051364,
Extra Heap,49876,49876,49876,
Stack,269696,269696,269696,

Size,1500
Attempt,1,2,3,
Heap,13509844,13509844,13509844,
Extra Heap,62820,62820,62820,
Stack,402976,402976,402976,

Size,2000
Attempt,1,2,3,
Heap,24098399,24098399,24098399,
Extra Heap,132353,132353,132353,
Stack,546320,546320,546320,

Size,2500
Attempt,1,2,3,
Heap,37484351,37484351,37484351,
Extra Heap,144465,144465,144465,
Stack,675792,675792,675792,

Size,3000
Attempt,1,2,3,
Heap,53639242,53639242,53639242,
Extra Heap,148046,148046,148046,
Stack,797104,797104,797104,

Size,500
Attempt,1,2,3,
Heap,1961659,1961659,1961659,
Extra Heap,43837,43837,43837,
Stack,190816,190816,190816,

Size,1000
Attempt,1,2,3,
Heap,7500812,7500812,7500812,
Extra Heap,71596,71596,71596,
Stack,371152,371152,371152,

Size,1500
Attempt,1,2,3,
Heap,16935126,16935126,16935126,
Extra Heap,87922,87922,87922,
Stack,562096,562096,562096,

Size,2000
Attempt,1,2,3,
Heap,30215456,30215456,30215456,
Extra Heap,202664,202664,202664,
Stack,754944,754944,754944,

Size,2500
Attempt,1,2,3,
Heap,47033169,47033169,47033169,
Extra Heap,217007,217007,217007,
Stack,939360,939360,939360,

Size,3000
Attempt,1,2,3,
Heap,67326803,67326803,67326803,
Extra Heap,216461,216461,216461,
Stack,1118336,1118336,1118336,

Size,500
Attempt,1,2,3,
Heap,2398531,2398531,2398531,
Extra Heap,60405,60405,60405,
Stack,250112,250112,250112,

Size,1000
Attempt,1,2,3,
Heap,9308618,9308618,9308618,
Extra Heap,98686,98686,98686,
Stack,493824,493824,493824,

Size,1500
Attempt,1,2,3,
Heap,20836225,20836225,20836225,
Extra Heap,116511,116511,116511,
Stack,739168,739168,739168,

Size,2000
Attempt,1,2,3,
Heap,36798746,36798746,36798746,
Extra Heap,278334,278334,278334,
Stack,978528,978528,978528,

Size,2500
Attempt,1,2,3,
Heap,57872503,57872503,57872503,
Extra Heap,299353,299353,299353,
Stack,1233936,1233936,1233936,

Size,3000
Attempt,1,2,3,
Heap,36134409,36134409,36134409,
Extra Heap,60551,60551,60551,
Stack,6336,6336,6336,

Size,500
Attempt,1,2,3,
Heap,2493221,2493221,2493221,
Extra Heap,63995,63995,63995,
Stack,262896,262896,262896,

Size,1000
Attempt,1,2,3,
Heap,9682993,9682993,9682993,
Extra Heap,104295,104295,104295,
Stack,519392,519392,519392,

Size,1500
Attempt,1,2,3,
Heap,21679788,21679788,21679788,
Extra Heap,122692,122692,122692,
Stack,777248,777248,777248,

Size,2000
Attempt,1,2,3,
Heap,38669682,38669682,38669682,
Extra Heap,299838,299838,299838,
Stack,1042176,1042176,1042176,

Size,2500
Attempt,1,2,3,
Heap,59625705,59625705,59625705,
Extra Heap,312671,312671,312671,
Stack,1281808,1281808,1281808,

Size,3000
Attempt,1,2,3,
Heap,36134410,36134410,36134410,
Extra Heap,60550,60550,60550,
Stack,6336,6336,6336,

Size,500
Attempt,1,2,3,
Heap,2517269,2517269,2517269,
Extra Heap,64907,64907,64907,
Stack,266160,266160,266160,

Size,1000
Attempt,1,2,3,
Heap,9779089,9779089,9779089,
Extra Heap,105735,105735,105735,
Stack,525920,525920,525920,

Size,1500
Attempt,1,2,3,
Heap,21891429,21891429,21891429,
Extra Heap,124243,124243,124243,
Stack,787040,787040,787040,

Size,2000
Attempt,1,2,3,
Heap,38669682,38669682,38669682,
Extra Heap,299838,299838,299838,
Stack,1042176,1042176,1042176,

Size,2500
Attempt,1,2,3,
Heap,60218442,60218442,60218442,
Extra Heap,317174,317174,317174,
Stack,1297856,1297856,1297856,

Size,3000
Attempt,1,2,3,
Heap,36134410,36134410,36134410,
Extra Heap,60550,60550,60550,
Stack,6336,6336,6336,

Size,500
Attempt,1,2,3,
Heap,2517269,2517269,2517269,
Extra Heap,64907,64907,64907,
Stack,266160,266160,266160,

Size,1000
Attempt,1,2,3,
Heap,9876186,9876186,9876186,
Extra Heap,107190,107190,107190,
Stack,532592,532592,532592,

Size,1500
Attempt,1,2,3,
Heap,21891429,21891429,21891429,
Extra Heap,124243,124243,124243,
Stack,787040,787040,787040,

Size,2000
Attempt,1,2,3,
Heap,39053874,39053874,39053874,
Extra Heap,304254,304254,304254,
Stack,1055232,1055232,1055232,

Size,2500
Attempt,1,2,3,
Heap,60816181,60816181,60816181,
Extra Heap,321715,321715,321715,
Stack,1314176,1314176,1314176,

Size,3000
Attempt,1,2,3,
Heap,87961680,87961680,87961680,
Extra Heap,319600,319600,319600,
Stack,1585904,1585904,1585904,

Size,500
Attempt,1,2,3,
Heap,2541818,2541818,2541818,
Extra Heap,65838,65838,65838,
Stack,269424,269424,269424,

Size,1000
Attempt,1,2,3,
Heap,9876186,9876186,9876186,
Extra Heap,107190,107190,107190,
Stack,532448,532448,532448,

Size,1500
Attempt,1,2,3,
Heap,22109074,22109074,22109074,
Extra Heap,125838,125838,125838,
Stack,796832,796832,796832,

Size,2000
Attempt,1,2,3,
Heap,39442068,39442068,39442068,
Extra Heap,308716,308716,308716,
Stack,1068288,1068288,1068288,

Size,2500
Attempt,1,2,3,
Heap,61421423,61421423,61421423,
Extra Heap,326313,326313,326313,
Stack,1330496,1330496,1330496,

Size,3000
Attempt,1,2,3,
Heap,87961680,87961680,87961680,
Extra Heap,319600,319600,319600,
Stack,1585904,1585904,1585904,

