Size,20000000
Attempt,1,2,3,
Heap,1600074552,1600074552,1600074552,
Extra Heap,640008664,640008664,640008664,
Stack,4448,4448,4448,

Size,40000000
Attempt,1,2,3,
Heap,3200074584,3200074584,3200074584,
Extra Heap,1280008656,1280008656,1280008656,
Stack,4448,4448,4448,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1600075893,1600075893,1600075893,
Extra Heap,640008575,640008575,640008575,
Stack,3800,3800,3800,

Size,40000000
Attempt,1,2,3,
Heap,3200075677,3200075677,3200075677,
Extra Heap,1280008583,1280008583,1280008583,
Stack,3896,3896,3896,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1600083062,1600083062,1600083062,
Extra Heap,640008530,640008530,640008530,
Stack,3576,3576,3576,

Size,40000000
Attempt,1,2,3,
Heap,3200085622,3200085622,3200085622,
Extra Heap,1280008538,1280008538,1280008538,
Stack,3680,3680,3680,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,20000000
Attempt,1,2,3,
Heap,1600123511,1600123511,1600123511,
Extra Heap,640008541,640008541,640008541,
Stack,3576,3576,3576,

Size,40000000
Attempt,1,2,3,
Heap,3200156279,3200156279,3200156279,
Extra Heap,1280008529,1280008529,1280008529,
Stack,3600,3600,3600,

Size,60000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,80000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,100000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,120000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

Size,140000000
Attempt,1,2,3,
Heap,,,,
Extra Heap,,,,
Stack,,,,

