20000000,13.0,13.0,13.0,
40000000,25.9,25.9,25.9,
60000000,38.8,38.8,38.8,
80000000,51.7,51.7,51.7,
100000000,64.7,64.7,64.7,
120000000,77.6,77.6,77.6,
140000000,90.5,90.5,90.5,
20000000,13.0,13.0,13.0,
40000000,25.9,25.9,25.9,
60000000,38.8,38.8,38.8,
80000000,51.7,51.7,51.7,
100000000,64.7,64.7,64.7,
120000000,77.6,77.6,77.6,
140000000,90.5,90.5,90.5,
20000000,13.0,13.0,13.0,
40000000,25.9,25.9,25.9,
60000000,38.8,38.8,38.8,
80000000,51.7,51.7,51.7,
100000000,64.7,64.7,64.7,
120000000,77.6,77.6,77.6,
140000000,90.5,90.5,90.5,
20000000,13.0,13.0,13.0,
40000000,25.9,25.9,25.9,
60000000,38.8,38.8,38.8,
80000000,51.7,51.7,51.7,
100000000,64.7,64.7,64.7,
120000000,77.6,77.6,77.6,
140000000,90.5,90.5,90.5,
