20000000,11.9,11.9,11.9,
40000000,23.7,23.7,23.7,
60000000,35.6,35.6,35.6,
80000000,47.4,47.4,47.4,
100000000,59.3,59.3,59.3,
120000000,71.1,71.1,71.1,
140000000,83.0,83.0,83.0,
20000000,11.9,11.9,11.9,
40000000,23.7,23.7,23.7,
60000000,35.6,35.6,35.6,
80000000,47.4,47.4,47.4,
100000000,59.3,59.3,59.3,
120000000,71.1,71.1,71.1,
140000000,83.0,83.0,83.0,
20000000,11.9,11.9,11.9,
40000000,23.7,23.7,23.7,
60000000,35.6,35.6,35.6,
80000000,47.4,47.4,47.4,
100000000,59.3,59.3,59.3,
120000000,71.1,71.1,71.1,
140000000,83.0,83.0,83.0,
20000000,11.9,11.9,11.9,
40000000,23.7,23.7,23.7,
60000000,35.6,35.6,35.6,
80000000,47.4,47.4,47.4,
100000000,59.3,59.3,59.3,
120000000,71.1,71.1,71.1,
140000000,83.0,83.0,83.0,
