Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
1000,0.1885,0.1839,0.1939,0.1899,0.1897,0.1898,0.1902,0.1974,0.1928,0.1895,0.1816,0.1854,
2000,2.6077,2.5966,2.6315,2.6163,2.6234,2.6039,2.5972,2.6070,2.6237,2.6192,2.6183,2.6197,
3000,11.7840,11.7928,11.7582,11.7798,11.7607,11.7494,11.7288,11.7497,11.7313,11.7161,11.7848,11.7468,
4000,30.5058,30.6031,30.4525,30.4834,30.5839,30.5460,30.4021,30.4497,30.5347,30.5216,30.2901,30.3728,
5000,67.9495,67.7879,68.1985,67.5117,69.3653,67.8464,68.5924,68.7423,68.0015,67.1795,67.6852,67.7306,
6000,118.8159,119.0151,119.7554,118.6220,118.6204,119.3028,120.2002,119.2372,118.1140,118.2157,118.3777,119.4219,
1000,0.1865,0.1832,0.1837,0.1876,0.1887,0.1965,0.1909,0.1916,0.1891,0.1840,0.1852,0.1832,
2000,2.6083,2.6112,2.6210,2.6314,2.6335,2.6286,2.6140,2.5888,2.6166,2.5983,2.6037,2.6140,
3000,11.7822,11.8061,11.7802,11.7289,11.7210,11.7956,11.7337,11.7468,11.7340,11.7112,11.8202,11.7674,
4000,30.4883,30.4107,30.4501,30.4365,30.6021,30.4566,30.6625,30.6632,30.4865,30.4721,30.3466,30.3607,
5000,67.4572,67.0106,67.7986,67.6406,67.4476,67.4910,67.1292,66.8697,67.5758,67.4203,67.6214,67.5227,
6000,119.5335,119.4647,120.1710,120.2460,119.9254,119.4966,119.1249,121.1922,120.7740,121.0747,119.3489,119.3909,
1000,0.1880,0.1862,0.1906,0.1914,0.1941,0.1881,0.1863,0.1918,0.1920,0.1929,0.1916,0.1961,
2000,2.6342,2.6301,2.6336,2.6106,2.6031,2.5865,2.5816,2.6057,2.5949,2.6213,2.5835,2.5768,
3000,11.7414,11.7827,11.7930,11.7699,11.8053,11.7687,11.7977,11.7794,11.7630,11.7644,11.8305,11.7672,
4000,30.5479,30.3879,30.4178,30.4673,30.4563,30.6622,30.3742,30.8946,30.6204,30.9724,30.8892,30.8389,
5000,67.4795,67.4255,67.6622,67.3247,67.2376,67.3333,67.8044,67.0963,67.2002,66.9884,67.1697,67.9865,
6000,120.4745,119.8335,118.9406,119.9287,122.5458,120.2972,120.9761,120.3785,120.2969,119.7329,119.9030,118.9434,
