Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
7500,0.1281,0.1291,0.1293,0.1286,0.1285,0.1283,0.1282,0.1280,0.1277,0.1281,0.1273,0.1270,
15000,0.6106,0.6039,0.6052,0.6140,0.6078,0.6080,0.6094,0.6060,0.6051,0.6169,0.6017,0.6047,
22500,1.4506,1.4546,1.4408,1.4268,1.4257,1.4580,1.4571,1.4657,1.4431,1.4259,1.4544,1.4508,
30000,2.5973,2.6142,2.6621,2.6143,2.6235,2.6143,2.5991,2.5927,2.5911,2.5800,2.5745,2.5925,
37500,4.1363,4.1719,4.1048,4.0331,4.0507,4.1486,4.0617,4.0441,4.1562,4.0476,4.0339,4.0618,
45000,5.9919,5.9887,5.8172,6.0210,5.9942,5.9854,5.9143,5.8306,6.0036,5.8353,6.0291,6.0082,
52500,8.1322,8.1627,8.2093,7.9880,8.0880,7.9626,8.0371,7.9919,8.0863,8.0078,7.9649,7.9598,
60000,10.3532,10.4098,10.8183,10.6443,10.3974,10.5872,10.3882,10.7404,10.4241,10.6154,10.6459,10.4181,
7500,0.1313,0.1313,0.1313,0.1322,0.1327,0.1329,0.1326,0.1325,0.1313,0.1316,0.1313,0.1315,
15000,0.6179,0.6193,0.6294,0.6196,0.6272,0.6299,0.6204,0.6252,0.6222,0.6221,0.6179,0.6301,
22500,1.4516,1.4733,1.4846,1.4463,1.4756,1.4805,1.4512,1.4874,1.4511,1.4803,1.4859,1.4479,
30000,2.6251,2.6332,2.6298,2.6619,2.6650,2.6410,2.6234,2.6963,2.6463,2.6684,2.6111,2.6297,
37500,4.1755,4.0928,4.0900,4.0851,4.1751,4.2047,4.0892,4.0948,4.2247,4.2199,4.0966,4.2101,
45000,6.0612,6.1172,6.0326,6.0468,5.9051,6.0817,6.0914,6.0737,6.0938,5.9243,6.0850,6.0897,
52500,8.2049,8.2350,8.1667,8.2770,8.3171,8.0690,8.0488,8.2409,8.3388,8.0805,8.0580,8.0519,
60000,10.8434,10.7410,10.5092,10.8397,10.5468,10.5281,10.7621,10.5161,10.5220,10.8422,10.7823,10.5329,
7500,0.1570,0.1575,0.1579,0.1579,0.1586,0.1580,0.1603,0.1577,0.1581,0.1577,0.1587,0.1593,
15000,0.6823,0.6720,0.6739,0.6817,0.6711,0.6805,0.6719,0.6802,0.6728,0.6696,0.6711,0.6753,
22500,1.5313,1.5490,1.5501,1.5446,1.5593,1.5579,1.5572,1.5339,1.5728,1.5730,1.5545,1.5560,
30000,2.7229,2.7662,2.7702,2.7756,2.7612,2.7661,2.7831,2.7260,2.7808,2.7149,2.7188,2.7215,
37500,4.2182,4.2268,4.2180,4.3544,4.3412,4.2189,4.3178,4.2171,4.2189,4.2876,4.2158,4.2202,
45000,6.1920,6.2008,6.0689,6.1612,6.0482,6.2014,6.0576,6.1654,6.2053,6.0499,6.2061,6.2001,
52500,8.4587,8.2558,8.2515,8.4454,8.3105,8.2427,8.4615,8.3487,8.2961,8.4731,8.4276,8.1997,
60000,10.7221,11.0289,10.9706,10.7337,10.7308,10.9750,10.9952,11.0014,10.7335,10.9613,11.0929,10.7316,
7500,0.3110,0.3085,0.3089,0.3082,0.3110,0.3130,0.3116,0.3107,0.3083,0.3086,0.3100,0.3077,
15000,1.0737,1.0735,1.0898,1.0716,1.0721,1.0993,1.0926,1.0710,1.0765,1.0981,1.0873,1.0828,
22500,2.1266,2.1277,2.1751,2.1506,2.2151,2.1521,2.1898,2.2052,2.1314,2.1702,2.1430,2.1792,
30000,3.5111,3.4991,3.5653,3.5137,3.6289,3.5080,3.6047,3.6668,3.7019,3.5239,3.5851,3.6437,
37500,5.3886,5.2413,5.4881,5.2366,5.4844,5.2419,5.4823,5.2384,5.2421,5.2362,5.4437,5.2346,
45000,7.6748,7.6508,7.6812,7.3223,7.6393,7.2905,7.6271,7.3170,7.6197,7.3127,7.2896,7.3087,
52500,10.1016,10.0140,9.7303,10.1827,10.2022,9.7220,10.0502,9.7087,10.2835,9.7204,9.7180,9.6488,
60000,12.4870,12.9483,12.4753,13.0118,12.4809,12.5046,12.8201,12.9279,12.8101,12.7393,12.4732,12.9316,
