Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
20000000,0.6076,0.6100,0.6099,0.6144,0.6082,0.6051,0.6041,0.6101,0.6039,0.6043,0.6039,0.6078,
40000000,1.2120,1.2117,1.2155,1.2116,1.2165,1.2156,1.2241,1.2136,1.2169,1.2094,1.2091,1.2130,
60000000,1.8276,1.8206,1.8237,1.8260,1.8261,1.8199,1.8139,1.8228,1.8200,1.8131,1.8096,1.8258,
80000000,2.4405,2.4352,2.4287,2.4323,2.4295,2.4218,2.4318,2.4495,2.4380,2.4427,2.4265,2.4215,
100000000,3.0402,3.0313,3.0433,3.0222,3.0611,3.0358,3.0707,3.0378,3.0424,3.0385,3.0432,3.0668,
120000000,3.6563,3.6486,3.6561,3.6351,3.6433,3.6364,3.6287,3.6382,3.6229,3.6588,3.6432,3.6581,
140000000,4.2743,4.2712,4.2747,4.2596,4.2766,4.2284,4.2613,4.2479,4.2503,4.2410,4.2376,4.2560,
20000000,0.5945,0.5927,0.5945,0.5949,0.5946,0.5929,0.5942,0.5935,0.5944,0.5918,0.5944,0.5931,
40000000,1.1899,1.1960,1.1962,1.1965,1.1959,1.1963,1.1955,1.1957,1.1927,1.1960,1.1925,1.1939,
60000000,1.7921,1.7888,1.7912,1.7849,1.7944,1.8015,1.7981,1.8047,1.8047,1.8023,1.8010,1.8002,
80000000,2.3784,2.3826,2.3741,2.3962,2.3788,2.3910,2.3824,2.3693,2.3953,2.3906,2.3979,2.3731,
100000000,2.9653,2.9958,2.9923,2.9902,2.9685,2.9874,2.9963,2.9888,2.9722,2.9915,2.9685,2.9904,
120000000,3.5696,3.5580,3.5665,3.5716,3.5651,3.5639,3.5737,3.5656,3.5927,3.5906,3.5782,3.5830,
140000000,4.1931,4.1658,4.1645,4.1605,4.1551,4.1628,4.1908,4.1560,4.1628,4.1646,4.1627,4.1570,
20000000,0.5578,0.5544,0.5603,0.5604,0.5564,0.5557,0.5531,0.5578,0.5552,0.5551,0.5582,0.5596,
40000000,1.1268,1.1257,1.1103,1.1216,1.1275,1.1220,1.1131,1.1156,1.1265,1.1209,1.1220,1.1210,
60000000,1.6985,1.6790,1.6801,1.6948,1.6709,1.6909,1.6947,1.6904,1.6948,1.6817,1.6619,1.6822,
80000000,2.2381,2.2557,2.2223,2.2318,2.2573,2.2488,2.2596,2.2553,2.2636,2.2554,2.2529,2.2465,
100000000,2.7838,2.8311,2.8198,2.7917,2.8590,2.8198,2.8192,2.8179,2.8183,2.8133,2.8392,2.7611,
120000000,3.3911,3.3856,3.3767,3.3715,3.3368,3.3498,3.3974,3.3261,3.3229,3.3729,3.3746,3.3757,
140000000,3.9338,3.9502,3.9342,3.9267,3.9228,3.9158,3.9305,3.9399,3.9500,3.9306,3.9025,3.9381,
20000000,0.5491,0.5457,0.5403,0.5462,0.5412,0.5415,0.5366,0.5448,0.5313,0.5451,0.5453,0.5472,
40000000,1.0692,1.0752,1.1012,1.0989,1.0922,1.0961,1.0921,1.0902,1.0759,1.0786,1.0974,1.0746,
60000000,1.6261,1.6364,1.6372,1.6278,1.6372,1.6269,1.6473,1.6469,1.6368,1.6338,1.6336,1.6440,
80000000,2.1870,2.1316,2.1982,2.1531,2.1882,2.1372,2.1913,2.1460,2.1945,2.1905,2.2062,2.1818,
100000000,2.7786,2.7068,2.7384,2.6540,2.7330,2.7314,2.7579,2.6500,2.7195,2.7088,2.7317,2.7570,
120000000,3.2815,3.2880,3.2626,3.2330,3.2404,3.1854,3.2143,3.1969,3.1990,3.2658,3.2908,3.1994,
140000000,3.8301,3.8309,3.8428,3.8235,3.7510,3.8551,3.8355,3.7822,3.7796,3.8124,3.7273,3.8042,
