Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
20000000,0.5401,0.5364,0.5398,0.5397,0.5410,0.5397,0.5395,0.5416,0.5390,0.5393,0.5413,0.5424,
40000000,1.0799,1.0883,1.0925,1.0778,1.0780,1.0816,1.0809,1.0868,1.0886,1.0892,1.0851,1.0873,
60000000,1.6286,1.6333,1.6272,1.6276,1.6307,1.6323,1.6182,1.6202,1.6203,1.6223,1.6116,1.6210,
80000000,2.1458,2.1452,2.1594,2.1490,2.1477,2.1492,2.1520,2.1533,2.1526,2.1453,2.1481,2.1435,
100000000,2.7128,2.7142,2.7210,2.7208,2.7180,2.7159,2.7020,2.7275,2.7216,2.7249,2.6888,2.7084,
120000000,3.2396,3.2386,3.2379,3.2364,3.2594,3.2631,3.2474,3.2555,3.2410,3.2416,3.2546,3.2502,
140000000,3.7920,3.8063,3.8047,3.8133,3.8148,3.8393,3.8078,3.8202,3.8152,3.8301,3.8209,3.8024,
20000000,0.5729,0.5741,0.5755,0.5758,0.5776,0.5756,0.5768,0.5734,0.5759,0.5754,0.5765,0.5707,
40000000,1.1536,1.1549,1.1528,1.1489,1.1547,1.1453,1.1437,1.1465,1.1388,1.1459,1.1436,1.1463,
60000000,1.7222,1.7241,1.7383,1.7276,1.7292,1.7212,1.7279,1.7295,1.7266,1.7346,1.7308,1.7325,
80000000,2.2783,2.2929,2.2957,2.3034,2.3040,2.2993,2.3061,2.3050,2.3064,2.2988,2.3007,2.3037,
100000000,2.8589,2.8608,2.8773,2.8809,2.8847,2.8847,2.8886,2.8808,2.8848,2.8751,2.8865,2.8875,
120000000,3.4654,3.4366,3.4380,3.4480,3.4444,3.4289,3.4731,3.4604,3.4623,3.4449,3.4559,3.4481,
140000000,4.0577,4.0436,4.0574,4.0403,4.0275,4.0407,4.0295,4.0389,4.0359,4.0589,4.0548,4.0331,
20000000,0.5035,0.5039,0.5040,0.5050,0.5046,0.5044,0.5048,0.5040,0.5036,0.5000,0.5049,0.5053,
40000000,1.0155,1.0140,1.0079,1.0155,1.0049,1.0163,1.0143,1.0141,1.0134,1.0137,1.0222,1.0098,
60000000,1.5365,1.5359,1.5387,1.5220,1.5398,1.5386,1.5372,1.5366,1.5356,1.5325,1.5362,1.5361,
80000000,2.0253,2.0403,2.0148,2.0311,2.0334,2.0332,2.0334,2.0453,2.0393,2.0361,2.0414,2.0427,
100000000,2.5421,2.5399,2.5622,2.5598,2.5661,2.5432,2.5424,2.5446,2.5388,2.5421,2.5431,2.5340,
120000000,3.0810,3.0723,3.0741,3.0729,3.0507,3.0482,3.0426,3.0800,3.0500,3.0522,3.0331,3.0401,
140000000,3.5648,3.5513,3.5561,3.5368,3.5471,3.5522,3.5678,3.5554,3.5192,3.5509,3.5571,3.5679,
20000000,0.4799,0.4852,0.4855,0.4799,0.4853,0.4802,0.4794,0.4845,0.4792,0.4860,0.4855,0.4855,
40000000,0.9775,0.9770,0.9647,0.9638,0.9652,0.9637,0.9644,0.9761,0.9723,0.9625,0.9763,0.9719,
60000000,1.4620,1.4692,1.4704,1.4665,1.4531,1.4697,1.4551,1.4694,1.4703,1.4591,1.4395,1.4746,
80000000,1.9605,1.9773,1.9594,1.9568,1.9529,1.9575,1.9553,1.9499,1.9313,1.9500,1.9551,1.9563,
100000000,2.4077,2.4280,2.4244,2.4465,2.4501,2.4483,2.4464,2.4486,2.4507,2.4193,2.4287,2.4389,
120000000,2.9272,2.8987,2.9199,2.9241,2.8870,2.8964,2.8759,2.9337,2.9038,2.9028,2.9195,2.9281,
140000000,3.3950,3.3726,3.4262,3.4277,3.3946,3.4100,3.4257,3.3731,3.4021,3.3980,3.4281,3.4395,
