Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
15000,0.0112,0.0121,0.0075,0.0109,0.0119,0.0076,0.0077,0.0158,0.0118,0.0076,0.0154,0.0138,
30000,0.0225,0.0232,0.0226,0.0168,0.0214,0.0174,0.0226,0.0185,0.0311,0.0203,0.0217,0.0300,
45000,0.0362,0.0263,0.0265,0.0350,0.0307,0.0254,0.0344,0.0295,0.0355,0.0255,0.0300,0.0442,
60000,0.0445,0.0369,0.0392,0.0374,0.0413,0.0355,0.0384,0.0346,0.0426,0.0337,0.0379,0.0383,
75000,0.0549,0.0471,0.0567,0.0434,0.0484,0.0520,0.0422,0.0496,0.0440,0.0509,0.0562,0.0469,
90000,0.0630,0.0597,0.0526,0.0555,0.0632,0.0597,0.0531,0.0575,0.0661,0.0645,0.0511,0.0643,
105000,0.0695,0.0627,0.0600,0.0731,0.0692,0.0660,0.0619,0.0599,0.0669,0.0653,0.0678,0.0600,
120000,0.0799,0.0775,0.0791,0.0792,0.0794,0.0800,0.0803,0.0813,0.0802,0.0831,0.0841,0.0802,
135000,0.0851,0.0820,0.0803,0.0793,0.0790,0.0791,0.0868,0.0861,0.0849,0.0915,0.0869,0.0848,
150000,0.0939,0.0919,0.0944,0.0938,0.0877,0.0972,0.0983,0.0951,0.0982,0.0983,0.0928,0.0947,
15000,0.0865,0.0846,0.0859,0.0855,0.0866,0.0866,0.0775,0.0850,0.0756,0.0720,0.0794,0.0867,
30000,0.1639,0.1699,0.1643,0.1635,0.1671,0.1609,0.1625,0.1744,0.1612,0.1641,0.1585,0.1638,
45000,0.2559,0.2388,0.2514,0.2540,0.2411,0.2407,0.2389,0.2476,0.2464,0.2661,0.2413,0.2347,
60000,0.3230,0.3161,0.3380,0.3508,0.3282,0.3272,0.3124,0.3424,0.3450,0.3471,0.3494,0.3553,
75000,0.4037,0.4123,0.4145,0.4341,0.4144,0.4269,0.4171,0.4181,0.4418,0.4332,0.4332,0.4266,
90000,0.5001,0.4783,0.5064,0.5018,0.5083,0.4974,0.5039,0.4898,0.5074,0.4903,0.4815,0.5025,
105000,0.5503,0.5561,0.5435,0.5774,0.6093,0.5820,0.5704,0.5819,0.5724,0.5644,0.5402,0.5591,
120000,0.6873,0.6651,0.6545,0.6209,0.6280,0.6065,0.6410,0.6501,0.6287,0.6605,0.6376,0.6555,
135000,0.7016,0.6765,0.7600,0.6987,0.7426,0.7068,0.7321,0.6977,0.6913,0.6960,0.7134,0.7285,
150000,0.8089,0.7816,0.8003,0.7734,0.8089,0.8452,0.7812,0.8200,0.7765,0.8499,0.8184,0.7936,
15000,0.7801,0.7511,0.8184,0.7362,0.7553,0.7682,0.7569,0.7594,0.7515,0.7947,0.7501,0.8124,
30000,1.5189,1.4785,1.4904,1.4960,1.4997,1.4619,1.4909,1.4603,1.4710,1.4414,1.4691,1.4714,
45000,2.3024,2.1615,2.4698,2.2467,2.2203,2.1785,2.1819,2.1790,2.1770,2.3143,2.2355,2.2442,
60000,3.0400,3.0240,3.0316,2.9238,2.9385,2.9158,3.0415,3.1777,3.0312,3.0128,2.9783,2.9881,
75000,3.7347,3.8731,3.7635,3.7231,3.7231,3.7321,3.7133,3.7346,4.0039,3.7586,3.7357,3.6313,
90000,4.5095,4.4948,4.4690,4.3450,4.3552,4.3510,4.4330,4.5775,4.4135,4.4084,4.4695,4.3762,
105000,5.2314,5.2761,5.0314,5.1373,5.2359,5.0969,5.2235,5.3694,5.1936,5.2864,5.4917,5.1813,
120000,5.8631,6.0426,5.7474,5.7348,5.7247,5.9748,5.9591,5.9541,5.9118,6.0394,6.0355,5.8197,
135000,6.6803,6.7406,6.8256,6.6764,6.5686,6.7949,6.6347,6.5565,6.6771,6.6391,6.6366,6.7758,
150000,93.1162,95.0500,95.5983,96.6871,97.5225,98.8995,97.4572,96.4816,96.5193,97.2530,96.3751,98.8880,
