Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
8000,0.1353,0.1295,0.1294,0.1303,0.1336,0.1353,0.1311,0.1377,0.1340,0.1376,0.1338,0.1364,
16000,0.5183,0.5200,0.5167,0.5173,0.5164,0.5180,0.5160,0.5141,0.5156,0.5181,0.5155,0.5218,
24000,1.1343,1.1319,1.1318,1.1417,1.1401,1.1338,1.1318,1.1326,1.1341,1.1436,1.1349,1.1331,
32000,2.0092,1.9980,2.0053,2.0096,2.0150,2.0119,2.0104,2.0185,2.0070,2.0125,2.0172,2.0143,
40000,3.1917,3.1729,3.1742,3.1840,3.1686,3.1760,3.1731,3.1636,3.1773,3.2073,3.2060,3.1920,
48000,4.5367,4.5394,4.5293,4.5327,4.5387,4.5479,4.5310,4.5198,4.5243,4.5138,4.5380,4.5148,
56000,6.1804,6.1941,6.1655,6.1723,6.1843,6.1891,6.1802,6.1904,6.1951,6.1751,6.2092,6.2084,
8000,0.1390,0.1385,0.1382,0.1323,0.1322,0.1367,0.1377,0.1355,0.1393,0.1392,0.1363,0.1396,
16000,0.5263,0.5305,0.5235,0.5171,0.5234,0.5322,0.5288,0.5182,0.5206,0.5318,0.5232,0.5166,
24000,1.1501,1.1544,1.1545,1.1500,1.1514,1.1531,1.1590,1.1514,1.1553,1.1486,1.1468,1.1491,
32000,2.0402,2.0291,2.0278,2.0332,2.0264,2.0275,2.0242,2.0241,2.0206,2.0250,2.0326,2.0374,
40000,3.2112,3.2190,3.2093,3.2135,3.2091,3.2175,3.2139,3.2006,3.2146,3.2218,3.2045,3.2158,
48000,4.5750,4.5789,4.5568,4.5626,4.5702,4.5961,4.5603,4.5655,4.5837,4.5737,4.5757,4.5802,
56000,6.2231,6.2097,6.2227,6.2058,6.2011,6.2243,6.2129,6.2156,6.2383,6.2037,6.2420,6.2068,
8000,0.1371,0.1397,0.1320,0.1324,0.1326,0.1329,0.1326,0.1327,0.1323,0.1320,0.1326,0.1371,
16000,0.5185,0.5178,0.5189,0.5187,0.5182,0.5241,0.5249,0.5215,0.5209,0.5210,0.5249,0.5184,
24000,1.1522,1.1456,1.1502,1.1530,1.1541,1.1564,1.1481,1.1540,1.1512,1.1566,1.1538,1.1559,
32000,2.0342,2.0412,2.0393,2.0370,2.0419,2.0348,2.0333,2.0350,2.0339,2.0369,2.0288,2.0396,
40000,3.2242,3.2280,3.2334,3.2289,3.2308,3.2129,3.2005,3.2128,3.2162,3.2327,3.2144,3.2256,
48000,4.5776,4.5973,4.5901,4.5972,4.5935,4.5782,4.5793,4.5911,4.5893,4.5717,4.5910,4.6107,
56000,6.2316,6.2448,6.2246,6.2317,6.2753,6.2385,6.2404,6.2211,6.2356,6.2545,6.2469,6.2404,
