Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
20000000,0.6132,0.6154,0.6150,0.6161,0.6131,0.6156,0.6185,0.6151,0.6173,0.6163,0.6169,0.6136,
40000000,1.2410,1.2291,1.2323,1.2292,1.2298,1.2309,1.2314,1.2310,1.2281,1.2272,1.2270,1.2238,
60000000,1.8512,1.8507,1.8486,1.8453,1.8474,1.8508,1.8405,1.8512,1.8575,1.8534,1.8562,1.8412,
80000000,2.4577,2.4396,2.4466,2.4479,2.4800,2.4645,2.4604,2.4684,2.4575,2.4458,2.4763,2.4500,
100000000,3.0686,3.0634,3.0881,3.0731,3.0794,3.0803,3.0712,3.0613,3.0783,3.0966,3.0789,3.0851,
120000000,3.7119,3.6929,3.6899,3.7003,3.7044,3.6990,3.7034,3.6984,3.7144,3.7289,3.7212,3.7056,
140000000,16.2940,17.3547,9.3381,20.3019,18.7296,13.9374,18.9471,11.9766,14.8619,9.9242,17.6001,13.4100,
20000000,0.5819,0.5835,0.5842,0.5849,0.5824,0.5830,0.5829,0.5831,0.5830,0.5855,0.5823,0.5835,
40000000,1.1661,1.1620,1.1645,1.1655,1.1659,1.1697,1.1732,1.1647,1.1706,1.1701,1.1598,1.1587,
60000000,1.7585,1.7665,1.7661,1.7657,1.7640,1.7689,1.7622,1.7597,1.7589,1.7596,1.7680,1.7666,
80000000,2.3372,2.3428,2.3284,2.3317,2.3319,2.3281,2.3415,2.3307,2.3322,2.3416,2.3421,2.3504,
100000000,2.9286,2.9312,2.9386,2.9247,2.9309,2.9366,2.9468,2.9323,2.9436,2.9310,2.9283,2.9330,
120000000,3.5206,3.5303,3.5217,3.5222,3.5217,3.5346,3.5407,3.5307,3.5365,3.5376,3.5231,3.5226,
140000000,6.6527,24.2831,7.1450,33.2736,32.5026,25.8964,6.7720,11.8705,31.8419,6.7146,25.4573,37.0949,
20000000,0.5057,0.5062,0.5054,0.5065,0.5061,0.5013,0.5044,0.5007,0.5020,0.5066,0.5060,0.5070,
40000000,1.0121,1.0191,1.0202,1.0227,1.0085,1.0177,1.0188,1.0157,1.0176,1.0212,1.0058,1.0056,
60000000,1.5104,1.5126,1.5288,1.5325,1.5318,1.5278,1.5136,1.5309,1.5115,1.5298,1.5248,1.5274,
80000000,2.0465,2.0403,2.0430,2.0229,2.0398,2.0029,2.0275,2.0265,2.0219,2.0254,2.0031,2.0133,
100000000,2.5246,2.5537,2.5249,2.5531,2.5538,2.5533,2.5203,2.5538,2.5550,2.5232,2.5544,2.5573,
120000000,3.0708,3.0689,3.0331,3.0756,3.0660,3.0690,3.0668,3.0699,3.0720,3.0743,3.0772,3.0708,
140000000,36.2096,13.9038,36.1424,36.6330,6.6992,36.2572,36.8811,27.1942,24.2789,36.3680,35.2229,34.9304,
20000000,0.4852,0.4967,0.4974,0.4974,0.4969,0.4963,0.4935,0.4933,0.4867,0.4838,0.4850,0.4961,
40000000,0.9979,0.9776,1.0018,0.9977,1.0000,0.9986,0.9770,0.9777,0.9981,0.9964,0.9975,0.9791,
60000000,1.4934,1.4641,1.4566,1.4556,1.4905,1.4982,1.4907,1.4613,1.4926,1.4967,1.4915,1.4905,
80000000,1.9316,1.9736,1.9726,1.9743,1.9738,1.9853,1.9946,1.9910,1.9857,1.9820,1.9819,1.9834,
100000000,2.4399,2.4938,2.4990,2.4958,2.4977,2.4947,2.4969,2.4911,2.4997,2.4488,2.4975,2.4953,
120000000,2.9367,2.9386,3.0031,2.9357,2.9988,2.9978,3.0070,3.0072,3.0061,2.9417,3.0090,3.0030,
140000000,8.2445,7.0709,8.9132,24.9886,12.6870,18.3328,10.1401,16.0084,5.6658,6.6236,21.9512,13.4388,
