500,0.118,0.112,0.117,0.117,0.111,0.111,0.112,0.111,0.121,0.122,0.116,0.120,
1000,0.926,0.922,0.922,0.946,0.930,0.926,0.930,0.947,0.975,0.951,0.947,0.972,
1500,3.343,3.249,3.279,3.270,3.304,3.281,3.274,3.295,3.311,3.242,3.213,3.259,
2000,9.069,9.056,9.197,9.031,9.114,9.046,9.013,9.045,9.091,9.178,8.725,8.997,
2500,19.546,19.585,19.779,19.766,19.536,19.450,19.884,19.543,19.842,19.802,19.744,19.799,
3000,,,,,,,,,,,,,
500,0.117,0.119,0.116,0.121,0.119,0.117,0.121,0.120,0.121,0.118,0.112,0.117,
1000,0.991,0.948,0.945,0.945,0.937,0.953,0.944,0.952,0.932,0.946,0.924,0.955,
1500,3.254,3.270,3.230,3.201,3.197,3.247,3.261,3.252,3.302,3.195,3.185,3.205,
2000,9.032,9.079,9.148,8.968,8.997,8.740,9.101,8.746,8.857,8.727,8.872,9.305,
2500,19.887,19.391,19.484,19.395,19.395,19.395,19.395,19.395,19.395,19.395,19.395,19.395,
3000,,,,,,,,,,,,,
500,0.122,0.116,0.119,0.119,0.112,0.117,0.113,0.114,0.114,0.116,0.121,0.111,
1000,0.978,0.949,0.972,0.967,0.935,0.965,0.947,0.948,0.936,0.990,0.980,0.946,
1500,3.312,3.294,3.295,3.359,3.318,3.285,3.278,3.324,3.309,3.307,3.323,3.307,
2000,9.153,9.108,9.220,8.902,8.859,8.885,9.052,9.216,9.032,8.998,8.961,9.120,
2500,,,,,,,,,,,,,
3000,,,,,,,,,,,,,
500,0.122,0.117,0.121,0.116,0.119,0.111,0.116,0.120,0.121,0.117,0.122,0.121,
1000,0.925,0.927,0.924,0.959,0.948,0.935,0.937,0.941,0.941,0.954,0.973,0.955,
1500,3.306,3.305,3.373,3.320,3.297,3.298,3.285,3.277,3.321,3.308,3.290,3.317,
2000,9.152,9.186,9.007,8.826,8.884,8.884,8.980,8.835,8.956,8.933,8.846,9.030,
2500,,,,,,,,,,,,,
3000,,,,,,,,,,,,,
