Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
20000000,0.104,0.106,0.101,0.102,0.100,0.100,0.101,0.101,0.105,0.107,0.098,0.098,
40000000,0.197,0.193,0.196,0.200,0.195,0.199,0.201,0.199,0.195,0.195,0.197,0.193,
60000000,0.297,0.308,0.300,0.290,0.294,0.298,0.296,0.291,0.286,0.293,0.294,0.303,
80000000,0.391,0.385,0.385,0.390,0.386,0.386,0.385,0.397,0.390,0.389,0.411,0.391,
100000000,0.481,0.487,0.477,0.486,0.491,0.487,0.482,0.526,0.493,0.487,0.485,0.489,
120000000,0.580,0.596,0.614,0.576,0.581,0.578,0.579,0.574,0.627,0.659,0.573,0.573,
140000000,0.682,0.670,0.743,0.675,0.695,0.678,0.683,0.680,0.677,0.755,0.671,0.716,
20000000,0.096,0.098,0.098,0.098,0.097,0.098,0.098,0.097,0.097,0.096,0.096,0.100,
40000000,0.195,0.191,0.193,0.194,0.196,0.192,0.196,0.193,0.195,0.196,0.194,0.192,
60000000,0.295,0.286,0.297,0.288,0.289,0.286,0.288,0.289,0.289,0.290,0.287,0.288,
80000000,0.384,0.387,0.386,0.389,0.386,0.387,0.389,0.385,0.382,0.389,0.385,0.383,
100000000,0.487,0.488,0.486,0.487,0.480,0.477,0.486,0.481,0.489,0.478,0.486,0.487,
120000000,0.584,0.574,0.575,0.575,0.581,0.579,0.577,0.579,0.580,0.584,0.574,0.580,
140000000,0.681,0.673,0.681,0.676,0.681,0.673,0.670,0.683,0.681,0.682,0.665,0.681,
20000000,0.101,0.104,0.099,0.106,0.098,0.102,0.103,0.103,0.096,0.099,0.098,0.104,
40000000,0.193,0.193,0.208,0.197,0.205,0.210,0.204,0.199,0.209,0.196,0.197,0.196,
60000000,0.293,0.309,0.289,0.312,0.301,0.307,0.294,0.307,0.310,0.302,0.299,0.307,
80000000,0.398,0.389,0.387,0.400,0.395,0.411,0.409,0.415,0.408,0.413,0.400,0.392,
100000000,0.492,0.509,0.489,0.487,0.501,0.521,0.526,0.507,0.487,0.508,0.489,0.511,
120000000,0.589,0.619,0.611,0.607,0.602,0.617,0.594,0.622,0.598,0.596,0.632,0.620,
140000000,0.688,0.723,0.685,0.729,0.683,0.721,0.691,0.736,0.681,0.689,0.742,0.714,
20000000,0.104,0.102,0.098,0.102,0.096,0.100,0.098,0.098,0.101,0.104,0.103,0.104,
40000000,0.207,0.197,0.206,0.196,0.201,0.204,0.197,0.197,0.204,0.204,0.195,0.195,
60000000,0.298,0.296,0.302,0.295,0.309,0.293,0.295,0.291,0.297,0.291,0.296,0.305,
80000000,0.405,0.396,0.400,0.405,0.409,0.412,0.401,0.406,0.396,0.400,0.407,0.410,
100000000,0.502,0.490,0.509,0.518,0.482,0.486,0.492,0.492,0.512,0.503,0.491,0.488,
120000000,0.612,0.593,0.597,0.594,0.585,0.601,0.593,0.622,0.597,0.591,0.598,0.615,
140000000,0.691,0.690,0.713,0.689,0.695,0.719,0.687,0.719,0.723,0.687,0.679,0.718,
