Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
15000,0.194,0.195,0.195,0.193,0.197,0.196,0.186,0.190,0.188,0.187,0.198,0.190,
30000,0.437,0.442,0.441,0.442,0.439,0.426,0.415,0.416,0.412,0.410,0.425,0.450,
45000,0.701,0.712,0.701,0.711,0.711,0.727,0.725,0.716,0.705,0.695,0.692,0.727,
60000,0.930,0.941,0.935,0.933,0.914,0.926,0.951,0.930,0.931,0.932,0.908,0.908,
75000,1.172,1.161,1.165,1.148,1.247,1.185,1.186,1.185,1.172,1.195,1.167,1.164,
90000,1.407,1.420,1.419,1.395,1.422,1.408,1.422,1.404,1.418,1.398,1.387,1.458,
105000,1.671,1.701,1.706,1.707,1.636,1.669,1.675,1.635,1.662,1.631,1.664,1.730,
120000,1.918,1.927,1.904,1.873,1.939,1.917,2.020,2.008,1.889,1.900,1.917,1.868,
135000,,,,,,,,,,,,,
150000,,,,,,,,,,,,,
15000,0.915,0.931,0.962,0.958,0.957,0.976,0.959,0.964,0.900,0.926,0.899,0.898,
30000,3.688,3.663,3.733,3.691,3.666,3.684,3.632,3.683,3.697,3.726,3.629,3.663,
45000,6.225,6.207,6.190,6.151,6.259,6.211,6.199,6.241,6.213,6.224,6.345,6.229,
60000,8.639,8.604,8.641,8.638,8.617,8.625,8.656,8.726,8.756,8.693,8.624,8.722,
75000,11.392,11.097,11.080,11.049,11.007,11.003,11.036,11.239,11.127,11.038,11.088,11.167,
90000,13.609,13.498,13.632,13.627,13.653,13.645,13.613,13.642,13.611,13.766,13.647,13.568,
105000,16.203,16.112,16.021,16.129,16.024,16.147,16.183,16.200,16.173,16.088,16.151,16.043,
120000,18.694,18.624,18.853,18.886,18.581,18.773,18.721,18.678,18.719,18.738,18.670,18.653,
135000,,,,,,,,,,,,,
150000,,,,,,,,,,,,,
15000,7.886,8.064,8.076,7.770,7.726,7.684,7.836,7.882,7.721,8.056,7.594,8.144,
30000,53.789,53.724,53.695,53.332,52.391,52.852,52.526,52.444,52.692,52.591,52.744,52.635,
45000,101.012,101.109,103.715,102.322,102.045,101.481,101.156,101.615,100.962,102.011,101.334,101.013,
60000,149.425,149.810,149.833,150.538,149.573,149.294,149.394,149.028,149.307,149.810,149.014,149.516,
75000,198.941,198.630,198.381,199.027,198.956,197.930,198.627,198.436,198.352,198.463,198.412,198.078,
90000,247.462,247.687,247.360,246.721,246.152,246.293,246.925,246.789,246.555,247.045,246.949,247.132,
105000,296.296,295.485,296.628,296.198,295.811,295.059,296.469,296.198,295.187,296.390,297.234,297.973,
120000,345.300,344.861,344.157,344.674,345.788,345.299,344.067,345.221,344.400,344.752,342.540,342.413,
135000,,,,,,,,,,,,,
150000,,,,,,,,,,,,,
