Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
8000,0.429,0.431,0.431,0.450,0.447,0.442,0.438,0.438,0.440,0.438,0.435,0.432,
16000,2.389,2.259,2.322,2.237,2.229,2.269,2.226,2.212,2.230,2.262,2.288,2.305,
24000,6.823,6.816,6.942,7.002,6.853,6.805,7.105,6.804,6.693,6.790,6.702,6.870,
32000,15.873,15.681,15.879,15.904,15.971,15.761,15.747,15.657,15.717,15.791,15.999,15.753,
40000,29.743,29.810,29.658,29.652,29.716,29.572,29.818,29.887,29.676,29.339,29.962,29.651,
48000,47.780,47.419,47.515,47.353,47.357,47.349,47.885,47.087,47.314,47.782,47.464,47.699,
56000,67.849,68.244,69.184,67.750,68.267,68.651,68.114,68.483,68.246,68.920,68.366,68.300,
8000,0.450,0.438,0.426,0.428,0.434,0.431,0.431,0.423,0.432,0.426,0.427,0.434,
16000,2.305,2.324,2.287,2.322,2.307,2.354,2.297,2.386,2.310,2.279,2.284,2.344,
24000,7.075,7.015,6.918,7.050,6.967,6.878,7.004,7.057,7.270,7.080,7.122,7.040,
32000,16.135,16.033,16.051,16.009,16.001,16.078,16.477,16.110,15.917,16.087,15.821,16.216,
40000,30.489,30.119,30.012,30.106,29.981,30.521,30.984,30.026,30.859,30.102,30.167,30.537,
48000,48.005,48.105,47.882,47.865,47.870,48.026,48.455,48.369,48.512,47.645,48.195,48.516,
56000,69.172,68.627,68.728,69.184,69.109,69.591,69.578,68.703,69.266,69.198,69.367,69.542,
8000,0.439,0.432,0.432,0.432,0.431,0.426,0.429,0.430,0.435,0.438,0.445,0.433,
16000,2.377,2.490,2.349,2.319,2.423,2.317,2.402,2.393,2.378,2.286,2.437,2.382,
24000,7.148,7.118,7.219,7.151,7.202,7.221,6.988,7.116,7.024,7.087,7.393,7.238,
32000,16.753,16.745,16.816,16.577,16.575,16.618,16.574,16.663,16.809,16.827,16.770,16.828,
40000,30.756,30.529,31.334,30.709,30.848,30.632,30.745,31.100,30.702,30.717,30.924,30.895,
48000,49.506,48.833,49.561,48.824,48.744,48.941,48.816,49.064,48.735,48.477,49.103,49.649,
56000,69.742,69.895,70.028,69.649,70.068,69.966,69.955,70.544,70.012,69.537,70.322,70.304,
