Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,
1000,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,
1500,0.004,0.004,0.009,0.008,0.004,0.008,0.008,0.004,0.007,0.008,0.007,0.007,
2000,0.010,0.014,0.013,0.007,0.015,0.007,0.012,0.013,0.009,0.010,0.007,0.009,
2500,0.011,0.017,0.015,0.012,0.016,0.011,0.017,0.018,0.011,0.011,0.016,0.019,
3000,0.016,0.016,0.021,0.024,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.020,
500,0.032,0.017,0.016,0.016,0.022,0.025,0.024,0.022,0.021,0.016,0.016,0.017,
1000,0.124,0.116,0.128,0.123,0.127,0.124,0.127,0.127,0.123,0.125,0.125,0.119,
1500,0.685,0.689,0.692,0.696,0.690,0.692,0.680,0.697,0.694,0.687,0.684,0.684,
2000,1.774,1.758,1.756,1.753,1.762,1.757,1.740,1.768,1.775,1.763,1.753,1.760,
2500,3.555,3.530,3.502,3.598,3.520,3.517,3.513,3.506,3.546,3.512,3.589,3.475,
3000,6.669,6.531,6.593,6.592,6.591,6.592,6.551,6.545,6.578,6.573,6.501,6.589,
500,0.051,0.048,0.042,0.048,0.052,0.043,0.051,0.050,0.042,0.051,0.047,0.053,
1000,0.311,0.305,0.305,0.303,0.311,0.298,0.314,0.307,0.297,0.299,0.311,0.302,
1500,1.777,1.781,1.778,1.774,1.769,1.761,1.831,1.808,1.762,1.801,1.795,1.774,
2000,4.494,4.562,4.557,4.545,4.506,4.480,4.506,4.495,4.511,4.466,4.512,4.476,
2500,9.299,9.439,9.327,9.148,9.259,9.113,9.149,9.114,9.294,9.124,9.273,9.158,
3000,16.820,16.843,16.928,16.611,16.527,16.745,16.666,16.558,16.618,16.586,16.642,16.747,
500,0.055,0.055,0.050,0.053,0.056,0.051,0.051,0.051,0.051,0.059,0.061,0.055,
1000,0.396,0.398,0.394,0.397,0.397,0.398,0.395,0.392,0.401,0.389,0.391,0.391,
1500,2.276,2.262,2.264,2.298,2.270,2.313,2.288,2.276,2.277,2.266,2.257,2.277,
2000,5.696,5.690,5.758,5.759,5.697,5.720,5.743,5.745,5.713,5.723,5.776,5.681,
2500,12.040,11.850,11.722,11.785,11.802,11.767,11.885,11.585,11.896,11.847,11.722,11.841,
3000,21.478,21.415,21.770,21.582,21.703,21.398,21.667,21.658,21.940,21.400,21.740,21.976,
500,0.060,0.059,0.063,0.061,0.064,0.060,0.059,0.058,0.057,0.060,0.064,0.060,
1000,0.421,0.428,0.436,0.429,0.428,0.432,0.428,0.430,0.421,0.429,0.418,0.426,
1500,2.573,2.581,2.639,2.642,2.634,2.626,2.656,2.644,2.615,2.640,2.595,2.648,
2000,6.451,6.511,6.503,6.486,6.454,6.460,6.434,6.446,6.483,6.472,6.475,6.502,
2500,13.241,13.200,13.243,13.241,13.248,13.434,13.301,13.376,13.132,13.357,13.237,13.357,
3000,24.802,24.729,24.450,24.646,24.517,24.338,24.364,24.699,24.697,24.721,24.756,24.655,
500,0.056,0.056,0.058,0.066,0.070,0.062,0.056,0.065,0.062,0.064,0.056,0.060,
1000,0.453,0.451,0.447,0.455,0.441,0.447,0.447,0.445,0.449,0.446,0.442,0.445,
1500,2.876,2.889,2.822,2.811,2.802,2.873,2.908,2.870,2.895,2.884,2.869,2.897,
2000,7.101,7.091,7.093,7.098,7.142,7.083,7.115,7.162,7.079,7.085,7.091,7.549,
2500,14.457,14.650,14.658,14.675,14.634,14.405,14.722,14.860,14.510,14.402,14.726,14.491,
3000,26.556,26.588,26.361,26.285,26.418,26.452,26.723,26.770,26.506,26.639,26.437,26.265,
500,0.064,0.064,0.065,0.067,0.065,0.068,0.059,0.058,0.059,0.069,0.064,0.064,
1000,0.471,0.472,0.485,0.475,0.494,0.489,0.484,0.482,0.482,0.478,0.491,0.483,
1500,3.033,3.063,3.049,3.045,3.058,3.039,3.075,3.082,3.099,3.093,3.047,3.029,
2000,7.587,7.617,7.590,7.602,7.662,7.646,7.670,7.645,7.655,7.736,7.681,7.657,
2500,15.645,15.727,15.564,15.532,15.984,15.818,15.880,15.600,15.727,15.508,15.815,15.660,
3000,28.365,28.030,28.403,28.070,27.981,28.310,28.433,28.282,28.178,28.128,28.241,28.308,
