Attempt,1,2,3,4,5,6,7,8,9,10,11,12,
20000000,0.380,0.378,0.378,0.379,0.381,0.380,0.381,0.382,0.381,0.380,0.380,0.384,
40000000,0.763,0.773,0.766,0.780,0.774,0.764,0.767,0.751,0.763,0.760,0.766,0.772,
60000000,1.151,1.151,1.169,1.144,1.144,1.150,1.148,1.154,1.144,1.153,1.153,1.146,
80000000,1.518,1.548,1.536,1.515,1.495,1.504,1.498,1.513,1.528,1.515,1.537,1.524,
100000000,1.905,1.976,1.979,1.893,1.942,1.948,1.936,1.909,1.893,1.893,1.935,1.922,
120000000,2.254,2.288,2.321,2.299,2.281,2.358,2.284,2.355,2.283,2.307,2.293,2.334,
140000000,2.724,2.685,2.719,2.643,2.660,2.698,2.677,2.655,2.737,2.680,2.725,2.715,
20000000,0.198,0.197,0.198,0.199,0.198,0.197,0.198,0.196,0.196,0.196,0.197,0.197,
40000000,0.403,0.395,0.401,0.396,0.395,0.394,0.402,0.396,0.401,0.398,0.395,0.399,
60000000,0.593,0.593,0.594,0.588,0.591,0.585,0.593,0.595,0.593,0.593,0.593,0.592,
80000000,0.796,0.795,0.792,0.791,0.792,0.790,0.794,0.790,0.782,0.792,0.785,0.784,
100000000,0.998,1.007,0.995,1.004,0.997,0.991,0.994,0.995,1.025,0.985,1.009,0.992,
120000000,1.201,1.203,1.180,1.186,1.186,1.284,1.191,1.199,1.186,1.186,1.200,1.188,
140000000,1.390,1.394,1.390,1.407,1.404,1.393,1.411,1.382,1.387,1.383,1.392,1.385,
20000000,0.165,0.168,0.168,0.174,0.168,0.167,0.169,0.167,0.168,0.167,0.166,0.167,
40000000,0.334,0.328,0.326,0.328,0.330,0.328,0.329,0.330,0.326,0.328,0.333,0.334,
60000000,0.501,0.493,0.501,0.501,0.500,0.504,0.495,0.494,0.502,0.501,0.501,0.496,
80000000,0.661,0.660,0.652,0.658,0.654,0.657,0.656,0.652,0.659,0.657,0.656,0.660,
100000000,0.820,0.835,0.829,0.839,0.839,0.826,0.833,0.843,0.827,0.842,0.825,0.840,
120000000,1.002,0.992,1.002,1.004,1.002,1.016,0.994,1.013,0.992,0.986,1.002,1.000,
140000000,1.175,1.180,1.146,1.215,1.211,1.161,1.156,1.156,1.181,1.174,1.173,1.161,
20000000,0.157,0.155,0.154,0.152,0.155,0.149,0.163,0.155,0.151,0.156,0.157,0.151,
40000000,0.303,0.303,0.312,0.313,0.312,0.312,0.312,0.313,0.312,0.312,0.312,0.312,
60000000,0.469,0.468,0.453,0.454,0.471,0.470,0.454,0.468,0.469,0.454,0.468,0.469,
80000000,0.617,0.616,0.604,0.623,0.622,0.621,0.623,0.621,0.624,0.597,0.625,0.623,
100000000,0.775,0.779,0.780,0.780,0.788,0.774,0.788,0.783,0.781,0.789,0.794,0.776,
120000000,0.937,0.938,0.929,0.947,0.905,0.925,0.928,0.927,0.898,0.923,0.924,0.924,
140000000,1.088,1.457,1.097,1.084,1.097,1.104,1.067,1.101,1.058,1.076,1.088,1.049,
